Id,Price
4567,159010.75944791804
5925,122817.19516439503
960,147517.0624840013
3848,131909.51503624918
746,184196.93735070727
868,374275.99862553144
672,122840.36072420202
2471,196195.17399121413
4510,128028.30376419732
8354,221986.33324210902
6393,171388.2615214377
13270,227247.53849167912
5250,306092.03357468056
16751,169139.83768117655
11404,134158.95930251284
10588,338219.4978795528
14925,199235.1702461216
6791,214761.41568431858
16097,184035.97613087148
16428,357606.03791070473
6945,348781.46392202144
3190,185958.29503422172
15709,417855.45303259115
13155,179703.72804646235
7675,205042.98714511358
14686,234687.948948188
609,167073.92460890271
11155,163124.37930537644
10869,203222.84887197957
15742,181590.39037187546
9245,198412.8588257857
3340,190302.80126014148
2359,283268.96985056874
8070,204900.73270491022
13707,130812.94831894345
16079,279608.2432435798
15937,311452.8990096487
14090,182169.39311592185
9008,213653.39135247655
16384,180578.70021921833
11657,260510.6917270837
13151,153168.4998342584
8990,185904.95463543953
11857,187271.09556084205
1565,152113.870475706
8174,104942.54219728647
9247,245851.13110372567
10478,213874.1725492049
15509,148121.57342636277
8306,177125.31641280174
6642,185268.72408082412
7472,230626.9378072598
15989,132832.42717905773
13682,131215.33932234382
163,258651.04279407207
7076,190733.21175640845
7478,308344.3048521224
3029,186164.08040846218
1814,147697.40626948912
10057,126708.59548431251
15100,193090.52270427364
12694,222225.51525109875
6291,181062.95230432923
12603,207052.52399227876
3218,245933.18264138806
13456,128062.74109963476
10170,259439.05655148768
4530,156989.30204044812
13329,165974.31953844277
4820,146536.4256818004
10896,179521.37621396815
13416,124949.81867432053
2701,235217.31266669268
11265,330760.16421515046
9189,258231.9475110377
1858,175029.9316553536
14536,248695.75161910255
6199,286490.80389544426
14730,154084.9355536969
7510,229686.72005466462
15505,170945.2495907858
7446,180495.3724767905
14016,172122.14858644948
14113,120536.0066565041
8721,279142.1951649634
6193,289039.8011033088
5717,177210.52100789436
5427,325901.1348045346
9520,494901.71002107084
6869,104627.6991716648
1658,161754.44297340725
6639,205193.8790701125
6283,187371.6589485863
6257,126575.93623586245
15235,177025.3194624267
902,227084.78127410967
8932,206307.79221720647
16469,337322.3611477017
2825,268715.97057861986
6450,423298.5566986438
11366,178711.4309674153
3801,328499.8787738064
11385,171873.48329232854
1079,191884.9212164953
3202,238035.4421998269
676,234159.34294052262
6185,261425.71611337297
7730,173378.02248636377
2573,177550.46217454533
10978,204123.90006257704
10962,262783.7183722299
8870,200338.90139727845
8496,173005.46827142435
5517,172555.83632508683
927,181922.63532746
13675,193277.36858412216
1499,236032.23958332854
15536,340009.22973145806
8602,362439.0049038485
12137,449285.32391136774
9865,235466.6729644367
16353,280123.0472573648
15908,212860.1618189362
3944,185490.44238318122
10359,201955.89977137864
15158,226336.5745071391
3259,245718.11108503383
7220,327185.44514199
13843,213366.22654427972
16736,191010.7053049311
702,254254.74387671362
16401,201621.17250447717
12134,182505.18727092724
6918,217937.4145641827
11792,129430.90219485601
3798,141479.70299644713
10395,132798.15486706712
11099,133644.47698588314
7090,200104.60200310548
11260,187493.65929615777
9647,221009.73174787778
2903,341027.61094228807
2071,186319.2857252627
8604,198155.76957103796
9346,202517.26182171947
3945,207120.80364813373
3420,137285.03917118555
10842,129460.65979315637
725,160495.12964309784
13931,207035.96814709812
16330,265158.4633774129
9066,446953.5532310839
3326,302893.817456639
1556,271669.1980756703
6579,102196.02696607553
13877,147279.41163409245
9857,330978.97012331063
7302,220433.15490439493
5684,185304.72152938045
6513,237496.012371998
11342,113820.97106357702
16561,237330.67113021854
6885,186375.58662381404
9308,181083.57956582037
2559,171896.3256516313
6648,181310.00289208384
15260,177406.48383821835
5113,181833.96513710823
16492,187870.10194776222
12034,282539.1670010166
7248,204866.00085402705
2171,204809.74714502497
10594,170992.3677826922
13241,194188.64268817916
7032,159401.7666919877
4884,164028.70919454447
903,239373.28688809645
162,162267.53678619146
6566,224902.25608246305
8249,132894.1244175734
13106,207372.74679242313
256,129458.09439413494
7976,164454.75149978173
8575,165820.7343831318
7591,270058.88298378314
3204,260106.37954977958
15804,186473.58861186763
1525,310326.6937753733
9038,202935.32843765352
13628,193347.2581711229
10016,200363.0371491679
10208,231314.17888210865
2008,194359.26849370147
13029,206771.32289015476
5099,129320.78601172892
9923,290407.9092204223
9461,141727.09126081524
11086,178766.5550876197
15057,237328.31187933183
10689,176521.33466179945
2053,237036.47497048744
16630,170219.29547247346
4985,165911.97205002158
13881,228082.15042414513
13225,188161.03946456633
5779,69578.46231214088
10262,177479.86104594488
10762,226083.84849370792
9513,193010.92439249347
11128,178349.93087327664
2074,310355.7907025284
933,201906.8927644354
2780,182680.1180680272
6594,109847.53657168469
15394,274443.9897319498
14863,132717.07306405692
6698,211372.82907391834
1611,272269.3293599531
174,188159.8663229337
5160,216726.35825326078
3295,340080.6055341285
4559,376952.9899618448
8254,180269.47615375195
10228,107168.46195117541
13924,132591.72793822837
15341,242217.00271439902
4353,184210.4632524042
4334,72268.9621789615
1872,156850.39503013692
7823,175251.98809963436
310,154596.1409888008
3704,250749.68123728214
11615,286413.9916444047
6605,198460.2817856233
3381,187796.50637016832
2143,144188.92190677067
3191,240625.07357940066
13980,128528.52663390293
15613,170482.0272253802
10943,288525.4500911251
9654,206119.624485156
16053,499147.7992207168
14931,214388.33143165606
8299,238545.43676881015
2147,173075.5221693328
11567,321858.0739777842
5905,133632.60860875
11160,116699.198593774
8275,151235.31043160323
16398,285726.09394998197
11229,183225.43742280675
10309,172770.1530093617
7340,259253.6041559478
7653,173933.6946004618
272,214239.53862682002
9831,212610.98767045717
5016,125110.2427059153
5968,74866.9215017045
796,237958.92313776817
12123,128086.96852398742
16629,190332.7569484466
2637,163464.9618089441
6194,230188.8033728948
6216,381640.6750363133
14346,182264.82911616366
6428,135280.26324580229
2891,226416.77497722505
84,178916.3402357027
9260,206502.3111541829
15250,148872.09416277838
2348,187159.17337038863
10427,293411.51051169
13230,251498.7591690734
1691,181586.86775403877
8803,128762.12360622322
5464,211943.87358724218
10559,114802.12585577072
16787,292871.7920775305
4278,168084.33347881975
6183,174338.6555154494
12775,167752.60425548765
10104,180730.17140305747
13663,191133.96761907154
9404,278330.4171776116
14724,209549.89394500374
10040,180701.93039293188
4646,186955.99634792435
4754,155260.77780558632
3310,215163.72062585127
2003,184023.89636918512
7312,262947.1637242837
10921,235222.58461054432
13419,285874.13422458776
10105,168988.4249672906
2196,343753.49577257945
12659,230781.2206703532
4380,223168.82366217166
10847,147398.27599486845
10805,295709.70300723665
8709,100698.90293900321
8319,177848.5082137116
2215,185817.3107120514
7000,197033.10566337325
7701,105366.27836224488
9678,189300.47663563467
14026,202546.31640313947
7971,176509.88786093754
13734,155351.5935328615
16483,189419.70614054764
6150,212311.71040613
2931,291212.76789501135
5418,181642.40603806637
1662,497962.8846665912
2441,215744.0100542158
669,157428.47098423072
